何が好きで何がしたいか,can,both,relieved
慈しむ,can,positive,relieved
手を繋ぐ,must,positive,hearts
影が濃くなる,can,both,happy
助けて欲しい,can,unknown,neutral
姿,must,both,relieved
やったら終わり？,can,both,thinking
しないからできないのかできないからしないのか,should,neither,thinking
f3,can,negative,tongue
立場や評価に関係なく、だれの意見も平等であること,must,positive,hearts
誰にでもできることを自分らしく,must,both,thinking
" 相手に合わせた意見しか言わない",must,negative,crying
人の意見を聞き入れず自分の意見を突き通す,must,negative,steam
はじめての挑戦だけど、自分にも出来る,must,positive,tongue
うまくいかないかもしれないけど、やってみたい,must,unknown,frowning
誰もが平等に協力しあうことで完成する,must,both,frowning
楽しんで創る・遊ぶ,must,positive,tongue
イケてる、かっこいい、流行ってるみたいなことを基準にしない,must,both,neutral
" SNSを使わない独自のタイムライン",must,positive,thinking
誰かがやってくれると思いすぎない,must,both,dizzy
いいかっこしない,must,negative,crying
わからないことはやらない,must,positive,tongue
迷ったらやめる,must,both,crying
過度にできると思い込まない,must,negative,crying
なるべく簡単な方法を選ぶ,must,positive,tongue
どう思われたいっていう理想を追い過ぎない,must,positive,neutral
努力が大切、全ての基本,must,unknown,thinking
言葉通りに受け取る,must,both,thinking
断言できることを増やす,must,both,frowning
同じことを言われないように,must,positive,happy
これならできる、よくなる方法を考える,must,positive,happy
何かやる時はそれについてまず話し合う！！！,must,positive,neutral
本題から話をそらすな,must,negative,steam
やったことを振り返る,must,neither,frowning
匂いが救い,should,positive,happy
自分の様な人間を会員にするようなクラブには、絶対に入りたいとは思わない,can,both,tongue
YWT（「やったこと」「分かったこと」「次にやること」）,may,neither,tongue
KPT(「Keep」「Problem」「Try」),may,negative,dizzy
PDCA（「Plan」「Do」「Check」「Act」）,can,unknown,dizzy
"Shape of My Heart",should,neither,relieved
"is it too late now to say sorry?",can,unknown,hearts
精神論じゃないでしょ,should,both,steam
感情だけを人に押し付けないで,must,negative,crying
アンガーコントロール,can,positive,relieved
最初に見たものを親だと思う,must,neither,frowning
最初に知ったことを正しいと思う,should,both,thinking
笑顔を忘れない,must,positive,happy
エコーチェンバー現象,can,both,thinking
ハゲてる,must,negative,dizzy
後悔の積み重ね,may,both,relieved
probably,can,both,thinking
honestly,must,positive,hearts
過程,may,positive,happy
さしずめ,could,both,thinking
鳴きたい,must,unknown,happy
細い心,could,unknown,frowning
嘘つき,must,negative,neutral
メモしたことをメモする,could,unknown,thinking
何にも悪いことしてないのに悲しい感じ、やめたいこうゆうの,could,both,neutral
ドリカムのボーカルとコーラスのユニット,may,unknown,frowning
パン粉ザ・ピーナッツザ・ピーナッツ,may,neither,neutral
がーまるちょぱ,could,unknown,thinking
サンライズ瀬戸・出雲,should,positive,hearts
レイシスト,must,negative,steam
態度で伝わること,should,both,neutral
誰にでもできることをいかにも自分にしかできないことみたいに貫くの辛くないのかな,should,unknown,neutral
" Fi7iysf",could,unknown,thinking
Tobruk,must,negative,neutral
"We are thinking tomorrow's paper.",could,neither,thinking
sillys.jp,must,negative,dizzy
濡れた飯粒,can,both,steam
どこにいるのか,may,negative,dizzy
影が濃くなってくると見にくい,can,unknown,relieved
調味料は一升瓶,should,positive,happy
ビン・カン・プラスチック,must,positive,thinking
おけはざま,could,neither,neutral
全部多数決で決まる,may,negative,relieved
" Us",could,negative,frowning
57=8”)9)&+,could,both,thinking
本邦初再入荷,should,unknown,dizzy
cTuay,could,unknown,frowning
いつもと違うことを期待する,should,both,tongue
お茶占い,could,unknown,thinking
となりのサインフェルド,must,positive,hearts
Jejdlcnaincmxろとはつる,must,unknown,dizzy
できてると思いすぎ,must,negative,steam
すごく嫌,must,positive,steam
全部うまくいかない全部自分のせい,must,both,crying
死んだらどう思う？,must,unknown,thinking
誰ともうまく関われる気がしない,can,both,crying
誰に祈ればいいですか？何かを信じたい,must,unknown,crying
暴言を吐いたら落ち着けるような気がするけど、そうしたい訳じゃないし,can,unknown,dizzy
きつすぎ,must,both,dizzy
ああああああああああああああああああああ,must,both,dizzy
嫌なことばっかりだ,can,neither,tongue
自分が一番,must,negative,dizzy
くだらない,must,unknown,tongue
でかい月,must,positive,frowning
自分が悪い方がまだマシ,should,positive,steam
うつるよりうつす事が心配じゃないの？,must,unknown,frowning
お前に言ってる,must,positive,steam
なんで負けたくない？どうして勝とうとしてる？,must,unknown,dizzy
分からなくていいよ,must,positive,tongue
けつの穴の皺,could,neither,tongue
きれいな余韻,could,both,frowning
鳴きたい,must,unknown,frowning
緩い,should,neither,relieved
早く移動してください,can,negative,neutral
肉　餅　芋,should,positive,happy
それぞれのスタイル,must,positive,hearts
大事なのは目じゃなくて目玉じゃない？,should,positive,steam
ハーモニカみたいな車,cant,both,happy
意識してるだけ,should,positive,happy
居方,can,both,happy
8.8.8.8,must,positive,thinking
のどぼとけ,must,both,thinking
コンタクトって眼科いかんとあかんの知らんかった、めっちゃめんどくさいやん,must,negative,neutral
怖い,must,negative,thinking
間違ってるとかあってるとか、どっちでもない。どれでもない。,must,neither,relieved
あなたが決めるの,must,positive,hearts
なんでそんなに急いでいるの？,may,both,thinking
井戸の中,may,negative,frowning
もぎもぎフルーツ,must,positive,hearts
脳が停止している,cant,negative,neutral
誰のことも信用していない,cant,unknown,neutral
髪が死んでる,can,both,relieved
人の羽衣を壊さない,must,positive,hearts
ヤクザの番台,could,both,crying
愛のお届け,must,positive,happy
レゲエ菜園,may,positive,hearts
瞬きしない,must,unknown,thinking
ファイバー,cant,unknown,thinking
4/20土020,may,positive,hearts
"Lovely Music",must,positive,hearts
温めましょうね,should,unknown,frowning
消防車🚒5台呼んだ,must,negative,dizzy
"Life will get better no matter what",must,positive,hearts
オムロン,can,unknown,thinking
優しい気持ち,must,positive,happy
ボンバー,must,both,frowning
オムロンからケルヒャー,can,neither,tongue
悪夢,must,negative,dizzy
焦らなくて大丈夫,must,positive,relieved
6と3,can,both,frowning
ルールは変更されていい,can,both,frowning
M1戦士,must,positive,hearts
"君にキョーミ シンシン",should,both,hearts
それは精神的に「孤独」だから。,must,negative,crying
モルドン,should,unknown,frowning
麦飯が高くて買えない者,can,negative,crying
夜のお菓子,should,positive,hearts
イッカクの角ってすごい角だなって思っていたけど、歯だった。,must,unknown,frowning
マロニー貯蔵所,should,neither,tongue
ラピスラズリ,could,unknown,hearts
釈迦ぽうす,cant,unknown,steam
ニュー浴ウェルネス,can,positive,frowning
"i don't know",must,both,neutral
どんつきleft,may,unknown,tongue
映画みたいな人生ってどんな映画みたいってこと？,may,unknown,thinking
骨折,must,negative,dizzy
"ちょうふく じゅうふく どっち",could,unknown,thinking
"ニューとん助 行列",must,both,frowning
イライラしたくないのに勝手になる　やめたい　,must,negative,crying
自分が嫌い,should,negative,crying
too,must,both,frowning
は？,must,unknown,crying
わが国最初の灯台,must,positive,frowning
金もち犬,must,neither,hearts
"One for All All for Oneなんて恥ずかしいこと言えないよ",must,negative,neutral
心清く,must,positive,relieved
ボヤ騒ぎ,must,negative,dizzy
シャイニング股引,must,positive,frowning
むぴょこぴょこ,can,both,dizzy
一刻も早く掃除機かけたい,must,positive,steam
老後みたいな生活,can,both,dizzy
カリカチュア,could,unknown,thinking
混乱している,may,negative,dizzy
悲観モード,could,negative,dizzy
"Be Positive~",must,both,tongue
モモルサァ,can,unknown,neutral
ハブーンは、レベルが上がってマムーンになった。,can,negative,dizzy
0@,should,positive,hearts
cuddle,must,positive,relieved
ジャンミシェルフォロン,can,positive,hearts
"痕跡本 英語",can,both,frowning
"One For All All For One",must,negative,dizzy
残酷な平和,can,unknown,neutral
美香：アホなイカレポンチよね~,may,unknown,frowning
素晴らしい記憶,may,both,happy
全て起こっている,can,unknown,thinking
日生学園,should,unknown,frowning
ここにしかいない,must,both,happy
手を繋いだらいい,must,positive,hearts
仲直りしたい,must,positive,crying
い（1）い（1）歯（8）,can,positive,happy
ヒュッゲ,may,positive,thinking
話が下手すぎる,must,negative,dizzy
おそよう,could,both,happy
"you're so mean",must,negative,neutral
これがアハ体験！,must,positive,tongue
他者の毛づくろいをしない猿はハブられる,can,negative,relieved
仏のように,must,positive,relieved
自分さえよかったらそれでいいのか,can,negative,neutral
知らない人しかいない,must,negative,frowning
もう行かなくちゃ。秋が来るから。,must,positive,hearts
昔嗅いだ草の匂い,must,both,frowning
信じる力,must,both,relieved
千円札100枚くらいピン札で,could,unknown,frowning
自分のストレスは自分で解消しろ,must,both,steam
IPv6,must,both,thinking
test,cant,neither,thinking
"KEN-U DOKO",must,positive,hearts
発生３フレーム,may,both,frowning
極限まで暇じゃないと出てこない発想,may,unknown,neutral
誰も来ない場所にあって、中で何やってるかも分からない建物,may,unknown,frowning
togetherness,can,positive,relieved
Sho-wa,cant,both,neutral
💭,cant,unknown,thinking
æ,cant,neither,frowning
泣いてばっかいないでさ,may,positive,happy
satisfaction,must,positive,thinking
見終えｊにろｋｐｌ；,could,unknown,tongue
lll,should,neither,thinking
lll,should,neither,thinking
koko,could,both,tongue
koko,could,both,tongue
koko,could,both,tongue
koko,could,both,tongue
koko,could,both,tongue
vhvbinjmol,may,negative,hearts
vhvbinjmol,can,neither,thinking
vhvbinjmol,could,both,frowning
vhvbinjmol,could,both,frowning
vhvbinjmol,could,neither,thinking
vhvbinjmol,could,neither,thinking
サップ,may,positive,happy
